,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,hpl,year2,Good_seller
1570,2016,83000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4064256,0
1571,2009,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
1572,2014,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4056196,0
1573,2012,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5,59.294871794871796,4048144,0
1574,2008,19000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4032064,0
1575,2009,68600,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5,78.8243152972612,4036081,0
1576,2012,40000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5,77.68871075484302,4048144,0
1577,2012,160000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4048144,0
1578,2016,25000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,67.17434869739479,4064256,0
1579,2012,29500,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5,67.23446893787575,4048144,0
1580,2016,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,59.42211055276381,4064256,0
1581,2016,30000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,5,66.70838548185232,4064256,0
1582,2012,100000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,59.42211055276381,4048144,0
1583,2011,60000,Petrol,Individual,Manual,Second Owner,14.49,1399,92.7,5,66.26161543959971,4044121,0
1584,2016,60000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,63.560171919770774,4064256,0
1585,2017,13500,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,81.0688042752171,4068289,0
1586,2017,30000,Petrol,Individual,Manual,Second Owner,21.4,1197,83.1,5,69.42355889724311,4068289,0
1587,2017,14000,Petrol,Individual,Manual,First Owner,19.1,1197,82.0,5,68.50459482038428,4068289,0
1588,2014,90000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7,67.87517209729234,4056196,0
1589,2018,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69.0,5,65.9025787965616,4072324,0
1590,2018,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,67.81326781326781,4072324,0
1591,2018,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4072324,0
1592,2018,25000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5,66.3510560815732,4072324,0
1593,2017,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,76.24135763670648,4068289,0
1594,2013,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5,59.294871794871796,4052169,0
1595,2018,40000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5,68.38763575605681,4072324,0
1596,2012,60000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,59.21474358974359,4048144,0
1597,2015,50000,Petrol,Individual,Automatic,First Owner,16.9,1197,82.0,5,68.50459482038428,4060225,0
1598,2017,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4068289,0
1599,2016,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,70.91346153846153,4064256,0
1600,2018,60000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,72.47828991315964,4072324,0
1601,2015,20000,Petrol,Individual,Manual,First Owner,17.01,1591,121.4,5,76.30421118793213,4060225,0
1602,2017,30000,Petrol,Individual,Manual,Second Owner,17.0,1497,121.36,5,81.0688042752171,4068289,0
1603,2019,17000,Diesel,Individual,Manual,First Owner,20.0,1497,115.0,5,76.82030728122913,4076361,0
1604,2017,50000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4068289,0
1605,2018,42000,Petrol,Individual,Automatic,First Owner,18.6,1368,98.63,5,72.09795321637428,4072324,0
1606,2011,120000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8,40.8981555733761,4044121,0
1607,2012,110000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,5,44.49007529089664,4048144,0
1608,2012,90000,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,5,50.143266475644694,4048144,0
1609,2020,70000,Petrol,Individual,Manual,First Owner,23.26,1197,88.5,5,73.93483709273183,4080400,0
1610,2011,66000,Diesel,Individual,Manual,Second Owner,20.5,1598,105.0,5,65.70713391739675,4044121,0
1611,2011,70000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,5,73.67716008037509,4044121,0
1612,2018,5000,Petrol,Individual,Automatic,First Owner,14.8,1591,121.3,5,76.24135763670648,4072324,0
1613,2014,50000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,5,44.49007529089664,4056196,0
1614,2019,25000,Petrol,Individual,Manual,First Owner,15.41,1598,103.2,5,64.58072590738423,4076361,0
1615,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4052169,0
1616,2006,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4024036,0
1617,2016,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,64.24965580541533,4064256,0
1618,2014,45000,Diesel,Individual,Manual,First Owner,19.1,1405,70.0,5,49.8220640569395,4056196,0
1619,2005,90000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,5,49.8220640569395,4020025,0
1620,2003,83000,Petrol,Individual,Manual,Second Owner,13.8,1299,70.0,5,53.88760585065435,4012009,0
1621,2011,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968,138.1,5,70.17276422764228,4044121,0
1622,2008,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150,74.9,5,65.1304347826087,4032064,0
1623,2017,40000,Petrol,Individual,Manual,Second Owner,16.8,796,34.2,8,42.96482412060302,4068289,0
1624,2011,138000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,5,66.83375104427736,4044121,0
1625,2015,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,59.42211055276381,4060225,0
1626,2005,50000,Petrol,Individual,Manual,Second Owner,15.3,1341,83.0,5,61.894108873974645,4020025,0
1627,2015,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,68.72393661384487,4060225,0
1628,2009,120000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,71.67919799498746,4036081,0
1629,2018,24400,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5,68.3375104427736,4072324,0
1630,2013,60000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,24.61355529131986,4052169,0
1631,2010,120000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5,71.67919799498746,4040100,0
1632,2015,60000,Diesel,Individual,Manual,Second Owner,24.8,1396,88.7,5,63.53868194842408,4060225,0
1633,2011,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4044121,0
1634,2007,60000,CNG,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4028049,0
1635,2011,120000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4044121,0
1636,2007,10000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,46.482412060301506,4028049,0
1637,2010,120000,Petrol,Individual,Manual,Third Owner,18.5,1197,80.0,5,66.83375104427736,4040100,0
1638,2009,70000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4036081,0
1639,2015,90000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,5,63.401785714285715,4060225,0
1640,2014,188000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,74.2299794661191,4056196,0
1641,2011,67840,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,62.311557788944725,4044121,0
1642,2016,35000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,59.42211055276381,4064256,0
1643,2010,150000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4040100,0
1644,2017,100000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4068289,0
1645,2017,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4068289,0
1646,2016,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4064256,0
1647,2003,149032,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4012009,0
1648,2011,84050,Petrol,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4044121,0
1649,2018,15000,Petrol,Individual,Manual,First Owner,16.2,1199,74.0,5,61.71809841534613,4072324,0
1650,2010,120000,Petrol,Individual,Manual,Third Owner,19.7,796,35.0,8,43.969849246231156,4040100,0
1651,2007,112880,Diesel,Dealer,Manual,First Owner,25.2,1248,74.0,5,59.294871794871796,4028049,0
1652,2013,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405,70.0,5,49.8220640569395,4052169,0
1653,2006,80000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,5,67.23446893787575,4024036,0
1654,2012,128000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5,66.22185154295246,4048144,0
1655,2011,120000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,7,24.970273483947683,4044121,0
1656,2010,30000,Petrol,Individual,Automatic,First Owner,12.6,1586,103.2,5,65.06935687263557,4040100,0
1657,2015,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,68.36257309941521,4060225,0
1658,2006,30000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4024036,0
1659,2015,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5,67.18436873747495,4060225,0
1660,2010,22000,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,5,66.00252206809584,4040100,0
1661,2006,70000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,67.23446893787575,4024036,0
1662,2005,100000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4020025,0
1663,2005,200000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,8,55.07113354749885,4020025,0
1664,2011,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7,63.345571363010556,4044121,0
1665,2019,3000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5,68.3375104427736,4076361,0
1666,2012,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5,67.23446893787575,4048144,0
1667,2013,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4052169,0
1668,2019,1500,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,5,73.97831526271894,4076361,0
1669,2017,74000,Diesel,Individual,Manual,First Owner,22.27,1498,108.6,5,72.49666221628839,4068289,0
1670,2017,25000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,5,73.97831526271894,4068289,0
1671,2016,61915,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5,65.82109479305741,4064256,0
1672,2016,70000,Diesel,Individual,Manual,First Owner,20.14,1498,88.0,5,58.74499332443257,4064256,0
1673,2007,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8,1248,75.0,5,60.09615384615385,4028049,0
1674,2013,110000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,66.97923643670462,4052169,0
1675,2014,90000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5,60.14957264957265,4056196,0
1676,2016,65000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,40.336808340016034,4064256,0
1677,2019,10000,Petrol,Individual,Manual,First Owner,20.52,1197,81.8,5,68.3375104427736,4076361,0
1678,2009,80000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,65.91478696741855,4036081,0
1679,2013,184000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,71.12179487179488,4052169,0
1680,2013,80000,CNG,Individual,Manual,Second Owner,32.52,998,58.33,5,58.44689378757515,4052169,0
1681,2005,70000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,60.422960725075534,4020025,0
1682,2008,89000,Petrol,Individual,Manual,Second Owner,15.6,1586,104.68,5,66.00252206809584,4032064,0
1683,2013,69000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,59.294871794871796,4052169,0
1684,2012,90000,Diesel,Individual,Manual,Second Owner,25.0,1396,69.0,5,49.4269340974212,4048144,0
1685,2012,35000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5,66.83375104427736,4048144,0
1686,2011,45000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5,66.83375104427736,4044121,0
1687,2011,30000,Diesel,Individual,Manual,First Owner,20.4,1248,91.2,5,73.07692307692308,4044121,0
1688,2018,6200,Petrol,Individual,Manual,First Owner,19.34,1462,103.0,7,70.4514363885089,4072324,0
1689,2020,120000,Petrol,Individual,Manual,Second Owner,21.63,998,67.0,5,67.13426853707415,4080400,0
1690,2016,70000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4064256,0
1691,1998,70000,Petrol,Individual,Manual,First Owner,14.0,796,35.0,5,43.969849246231156,3992004,0
1692,2017,110000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,7,29.72651605231867,4068289,0
1693,2004,158000,Petrol,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4016016,0
1694,2007,93000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,5,62.311557788944725,4028049,0
1695,2014,110000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,10,28.971588635454186,4056196,0
1696,2007,57000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
1697,2005,120000,Petrol,Individual,Manual,First Owner,13.2,1495,94.0,5,62.87625418060201,4020025,0
1698,2012,35000,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,5,49.4269340974212,4048144,0
1699,2009,120000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5,66.10169491525424,4036081,0
1700,2011,70000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,49.4269340974212,4044121,0
1701,2013,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,65.82109479305741,4052169,0
1702,2008,35000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,65.91478696741855,4032064,0
1703,2008,90000,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0,5,60.09615384615385,4032064,0
1704,2015,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,68.38763575605681,4060225,0
1705,2011,98000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,5,66.83375104427736,4044121,0
1706,2013,30000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,69.21470342522974,4052169,0
1707,2013,50000,Petrol,Individual,Manual,Second Owner,16.3,1797,147.5,5,82.08124652198109,4052169,0
1708,2016,26000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4064256,0
1709,2011,46000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4044121,0
1710,2019,10000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4076361,0
1711,2015,16700,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,59.42211055276381,4060225,0
1712,2018,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4072324,0
1713,2015,7967,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,69.45697577276525,4060225,0
1714,2018,20000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5,68.3375104427736,4072324,0
1715,2011,50000,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4044121,0
1716,2016,9656,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,66.70838548185232,4064256,0
1717,2011,50000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5,62.661141804788215,4044121,0
1718,2019,17000,Diesel,Individual,Manual,First Owner,24.4,1498,98.63,5,65.8411214953271,4076361,0
1719,2015,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,66.70838548185232,4060225,0
1720,2013,43000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,69.21470342522974,4052169,0
1721,2013,50000,Diesel,Individual,Manual,First Owner,23.5,1396,88.7,5,63.53868194842408,4052169,0
1722,2006,90000,Petrol,Individual,Manual,Second Owner,18.9,998,67.0,5,67.13426853707415,4024036,0
1723,2012,100000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,8,44.83586869495596,4048144,0
1724,2010,80000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.1,5,57.182320441988956,4040100,0
1725,2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4048144,0
1726,2019,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,68.3375104427736,4076361,0
1727,2016,68609,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5,59.97329773030708,4064256,0
1728,2018,33360,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5,65.81441922563418,4072324,0
1729,2019,14317,Petrol,Dealer,Manual,First Owner,14.23,1498,104.55,5,69.79305740987985,4076361,0
1730,2012,87237,Diesel,Dealer,Manual,Second Owner,20.0,1399,68.05,5,48.64188706218728,4048144,0
1731,2017,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5,66.08811748998664,4068289,0
1732,2017,26634,Petrol,Dealer,Automatic,First Owner,21.21,1197,81.8,5,68.3375104427736,4068289,0
1733,2012,67998,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5,67.23446893787575,4048144,0
1734,2018,20706,Diesel,Dealer,Manual,First Owner,23.8,1499,98.63,5,65.79719813208806,4072324,0
1735,2015,67303,Diesel,Dealer,Manual,First Owner,20.45,1461,83.8,5,57.35797399041752,4060225,0
1736,2013,79139,Petrol,Dealer,Manual,First Owner,18.5,1197,85.8,5,71.67919799498746,4052169,0
1737,2014,84784,Diesel,Dealer,Manual,First Owner,24.0,1120,70.0,5,62.5,4056196,0
1738,2012,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248,73.94,5,59.24679487179487,4048144,0
1739,2017,72000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7,63.345571363010556,4068289,0
1740,2008,127000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5,73.67716008037509,4032064,0
1741,2014,120000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,59.294871794871796,4056196,0
1742,2010,120000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4040100,0
1743,2014,100000,Diesel,Individual,Manual,First Owner,24.4,1120,71.0,5,63.39285714285714,4056196,0
1744,2012,148000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4048144,0
1745,2018,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4072324,0
1746,2013,110000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4052169,0
1747,2017,30000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,70.05838198498748,4068289,0
1748,2014,120000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,5,49.8220640569395,4056196,0
1749,2017,15000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,72.5752508361204,4068289,0
1750,2016,33500,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5,70.91346153846153,4064256,0
1751,2012,70000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,66.97923643670462,4048144,0
1752,2015,10000,Petrol,Individual,Manual,First Owner,18.16,1197,78.8,5,65.8312447786132,4060225,0
1753,2018,22053,Diesel,Individual,Manual,First Owner,16.36,2179,120.0,7,55.07113354749885,4072324,0
1754,2011,78432,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5,62.129583124058264,4044121,0
1755,2012,50000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5,72.45409015025041,4048144,0
1756,2017,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4068289,0
1757,2016,30000,Petrol,Individual,Manual,First Owner,15.29,1591,121.3,5,76.24135763670648,4064256,0
1758,2013,7200,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,40.336808340016034,4052169,0
1759,2014,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,67.81326781326781,4056196,0
1760,2013,25000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,5,70.7256046705588,4052169,0
1761,2005,90000,Petrol,Individual,Manual,Second Owner,15.4,1590,94.0,5,59.119496855345915,4020025,0
1762,2019,35000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,59.294871794871796,4076361,0
1763,2015,117500,Petrol,Individual,Manual,Second Owner,17.4,1497,117.3,5,78.3567134268537,4060225,0
1764,2012,78500,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,64.24965580541533,4048144,0
1765,2018,8000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,68.36257309941521,4072324,0
1766,2017,25000,Petrol,Individual,Manual,First Owner,18.12,1196,86.8,5,72.5752508361204,4068289,0
1767,2012,60000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5,79.84829329962074,4048144,0
1768,2019,10000,Petrol,Individual,Manual,First Owner,22.5,999,67.0,5,67.06706706706707,4076361,0
1769,2009,70000,Petrol,Individual,Manual,Second Owner,14.2,1597,92.0,5,57.60801502817783,4036081,0
1770,2006,70000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,52.104208416833664,4024036,0
1771,1997,25000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4,46.482412060301506,3988009,0
1772,2006,90000,Petrol,Individual,Manual,Third Owner,13.9,1599,103.2,5,64.54033771106941,4024036,0
1773,2015,90000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,79.7724399494311,4060225,0
1774,2018,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4072324,0
1775,2012,60000,Diesel,Individual,Manual,Second Owner,23.5,1498,88.7,5,59.21228304405875,4048144,0
1776,2008,70000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,62.311557788944725,4032064,0
1777,2016,80000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,70.91346153846153,4064256,0
1778,2015,110000,Diesel,Individual,Manual,Second Owner,15.4,2523,75.0,9,29.72651605231867,4060225,0
1779,2013,115717,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,55.07113354749885,4052169,0
1780,2008,110000,Diesel,Individual,Manual,Second Owner,17.7,1399,68.0,5,48.60614724803431,4032064,0
1781,2014,70000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7,67.87517209729234,4056196,0
1782,2019,4000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,68.3375104427736,4076361,0
1783,2011,50000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,65.91478696741855,4044121,0
1784,2016,70000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1197,82.0,5,68.50459482038428,4064256,0
1785,2009,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,65.91478696741855,4036081,0
1786,2016,55000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,59.294871794871796,4064256,0
1787,2020,5000,Petrol,Individual,Automatic,First Owner,17.0,1198,108.5,5,90.56761268781302,4080400,0
1788,2013,100000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,24.61355529131986,4052169,0
1789,2005,82000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1248,74.0,5,59.294871794871796,4020025,0
1790,2009,60000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,63.14797360980208,4036081,0
1791,2015,90000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,71.12179487179488,4060225,0
1792,2010,26432,Petrol,Dealer,Manual,First Owner,25.4,624,37.48,4,60.064102564102555,4040100,0
1793,2016,46702,Petrol,Dealer,Manual,First Owner,16.8,796,34.2,8,42.96482412060302,4064256,0
1794,2016,46706,Petrol,Dealer,Manual,First Owner,16.8,796,34.2,8,42.96482412060302,4064256,0
1795,2006,53523,Petrol,Dealer,Manual,First Owner,16.84,1193,64.4,5,53.9815590947192,4024036,0
1796,2012,56365,Diesel,Dealer,Manual,First Owner,25.44,936,56.3,5,60.14957264957265,4048144,0
1797,2011,49563,Petrol,Dealer,Manual,First Owner,16.2,995,62.1,5,62.41206030150754,4044121,0
1798,2004,56432,Petrol,Dealer,Manual,First Owner,16.1,796,37.0,4,46.482412060301506,4016016,0
1799,2002,52365,Petrol,Dealer,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,4008004,0
1800,2007,53512,Petrol,Dealer,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
1801,2010,46533,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5,67.23446893787575,4040100,0
1802,2005,59635,Petrol,Dealer,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4020025,0
1803,2008,58632,Petrol,Dealer,Manual,Second Owner,14.0,796,35.0,5,43.969849246231156,4032064,0
1804,2008,58632,LPG,Dealer,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4032064,0
1805,2016,80000,Diesel,Individual,Automatic,Second Owner,16.0,2179,140.0,7,64.24965580541533,4064256,0
1806,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4064256,0
1807,2017,90000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,67.06706706706707,4068289,0
1808,2014,110000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5,62.40601503759398,4056196,0
1809,2013,90000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,66.97923643670462,4052169,0
1810,2015,70000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7,55.07113354749885,4060225,0
1811,2007,78000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,58.16582914572864,4028049,0
1812,2017,45000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7,46.88546550569324,4068289,0
1813,2015,50000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5,67.18436873747495,4060225,0
1814,2017,58000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4068289,0
1815,2012,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8,40.8981555733761,4048144,0
1816,2007,30000,Petrol,Individual,Manual,Second Owner,14.7,1150,76.0,5,66.08695652173913,4028049,0
1817,2017,162000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,67.89352914180817,4068289,0
1818,2016,50000,CNG,Individual,Manual,Second Owner,26.6,998,58.16,5,58.276553106212425,4064256,0
1819,2015,60000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,7,60.090135202804206,4060225,0
1820,2009,138000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,59.21474358974359,4036081,0
1821,2010,70000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,65.91478696741855,4040100,0
1822,2010,48000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4040100,0
1823,2014,88000,Diesel,Individual,Manual,Second Owner,25.2,1248,74.0,5,59.294871794871796,4056196,0
1824,2015,68000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,40.336808340016034,4060225,0
1825,2017,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4068289,0
